Site_Code,Jaw_Site_ID,Test_Diameter,Total_Jaw_Length,Urchin_ID,Days_free,Jaw_Growth_Increment
4E,51,57,10.2,51,358,0.741
4E,52,59,10.8,52,358,0.663
4E,155,68,11,155,358,0.11
4E,57,60,11.1,57,358,0.751
4E,156,70,11.1,156,358,0.76
4E,191,63,11.1,191,358,0.58
4E,59,64,11.4,59,358,0.29
4E,111,68,11.4,111,358,1.005
4E,220,71,12,220,358,0.253
4E,227,70,12,227,358,0.563
4E,340,74,12,340,358,0.475
4E,266,68,12.1,266,358,0.5
4E,198,71,12.2,198,358,0.51
4E,209,70,12.2,209,358,0.383
4E,113,75,12.3,113,358,0.535
4E,60,74,12.4,60,358,0.151
4E,186,71,12.4,186,358,0.324
4E,256,74,12.4,256,358,0.271
4E,292,76,12.5,292,358,0.36
4E,345,74,12.5,345,358,0.361
4E,105,70,12.6,105,358,0.75
4E,118,76,12.6,118,358,0.425
4E,159,81,12.6,159,358,0.396
4E,269,76,12.6,269,358,0.279
4E,96,78,12.7,96,358,0.3
4E,127,78,12.7,127,358,0.65
4E,134,78,12.7,134,358,0.58
4E,166,69,12.7,166,358,0.134
4E,126,75,12.8,126,358,0.37
4E,165,74,12.8,165,358,0.452
4E,97,81,12.9,97,358,0.244
4E,225,74,12.9,225,358,0.08
4E,169,76,13,169,358,0.3
4E,179,81,13,179,358,0.33
4E,230,77,13,230,358,0.12
4E,196,85,13.1,196,358,0.153
4E,223,80,13.1,223,358,0.21
4E,257,81,13.1,257,358,0.195
4E,207,83,13.2,207,358,0.13
4E,250,82,13.2,250,358,0.3
4E,178,87,13.3,178,358,0.2
4E,210,84,13.3,210,358,0.174
4E,224,83,13.3,224,358,0.1
4E,181,80,13.4,181,358,0.11
4E,213,79,13.4,213,358,0.063
4E,249,86,13.4,249,358,0.16
4E,255,73,13.4,255,358,0.048
4E,272,77,13.4,272,358,0.121
4E,24,76,13.5,24,358,0.209
4E,99,81,13.5,99,358,0.1
4E,153,79,13.5,153,358,0.189
4E,197,85,13.5,197,358,0.35
4E,241,83,13.5,241,358,0.142
4E,100,79,13.6,100,358,0.114
4E,145,83,13.6,145,358,0.052
4E,150,87,13.6,150,358,0.12
4E,104,89,13.7,104,358,0.212
4E,79,92,13.8,79,358,0.105
4E,144,82,13.8,144,358,0.112
4E,194,81,13.8,194,358,0.18
4E,206,85,13.8,206,358,0.051
4E,233,79,13.8,233,358,0.155
4E,20,78,13.9,20,358,0.268
4E,174,84,13.9,174,358,0.194
4E,208,81,13.9,208,358,0.19
4E,211,87,13.9,211,358,0.144
4E,258,82,13.9,258,358,0.17
4E,5,89,14,5,358,0.107
4E,21,73,14,21,358,0.091
4E,170,87,14,170,358,0.152
4E,235,89,14,235,358,0.174
4E,312,80,14,312,358,0.11
4E,175,74,14.1,175,358,0.074
4E,203,94,14.1,203,358,0.11
4E,239,78,14.1,239,358,0.056
4E,247,82,14.1,247,358,0.119
4E,248,93,14.1,248,358,0.21
4E,273,84,14.1,273,358,0.169
4E,29,85,14.2,29,358,0.053
4E,80,87,14.2,80,358,0.16
4E,237,85,14.2,237,358,0.372
4E,253,103,14.2,253,358,0.137
4E,290,85,14.2,290,358,0.191
4E,91,88,14.3,91,358,0.084
4E,124,90,14.3,124,358,0.218
4E,125,87,14.3,125,358,0.2
4E,283,91,14.3,283,358,0.12
4E,30,95,14.4,30,358,0.035
4E,154,84,14.4,154,358,0.147
4E,157,81,14.4,157,358,0.08
4E,221,87,14.4,221,358,0.074
4E,243,87,14.4,243,358,0.38
4E,108,86,14.5,108,358,0.08
4E,133,84,14.5,133,358,0.04
4E,167,86,14.5,167,358,0.27
4E,184,90,14.5,184,358,0.16
4E,3,88,14.6,3,358,0.093
4E,15,87,14.6,15,358,0.074
4E,18,90,14.6,18,358,0.182
4E,28,90,14.6,28,358,0.118
4E,81,91,14.6,81,358,0.199
4E,238,71,14.6,238,358,0.117
4E,240,81,14.6,240,358,0.4
4E,17,89,14.7,17,358,0.18
4E,135,88,14.7,135,358,0.08
4E,147,89,14.7,147,358,0.12
4E,226,89,14.7,226,358,0.15
4E,232,93,14.7,232,358,0.05
4E,141,85,14.8,141,358,0.05
