site,sex,length,mature
1,M,145,1
1,F,141,1
1,F,122,1
1,F,110,1
1,M,130,1
1,F,151,1
1,M,152,1
1,M,145,1
1,F,130,1
1,M,139,1
1,M,132,1
1,M,154,1
1,M,146,1
1,M,152,1
1,M,132,1
1,F,142,1
1,M,136,1
1,F,127,1
1,M,130,1
1,F,157,1
1,F,116,1
1,I,116,0
1,F,145,1
1,M,137,1
1,F,145,1
1,M,132,1
1,F,118,1
1,M,140,1
1,F,150,1
1,I,121,0
1,M,155,1
1,M,140,1
1,M,132,1
1,M,158,1
1,F,138,1
1,F,140,1
1,F,155,1
1,M,150,1
1,M,141,1
1,F,150,1
1,F,160,1
1,M,148,1
1,F,135,1
1,M,140,1
1,M,158,1
1,F,127,1
1,F,155,1
1,F,158,1
1,M,152,1
1,M,142,1
1,F,157,1
1,F,156,1
1,M,142,1
1,M,151,1
1,M,146,1
1,F,125,1
1,M,151,1
1,M,136,1
1,F,131,1
1,M,152,1
1,F,119,1
1,F,135,1
1,F,122,1
1,F,113,1
1,M,140,1
1,F,141,1
1,F,123,1
1,M,155,1
1,M,136,1
1,M,135,1
1,M,136,1
1,M,155,1
1,M,137,1
1,M,115,1
1,M,144,1
1,F,125,1
1,I,122,0
1,F,136,1
1,M,133,1
1,F,140,1
1,M,151,1
1,M,125,1
1,M,149,1
1,M,136,1
1,M,136,1
1,F,119,1
1,F,134,1
1,F,143,1
1,F,152,1
1,F,131,1
1,M,151,1
1,M,151,1
1,M,159,1
1,F,126,1
1,F,144,1
1,M,151,1
1,M,136,1
1,F,142,1
1,M,143,1
1,F,157,1
1,M,142,1
1,F,139,1
1,F,149,1
1,I,126,0
1,M,120,1
1,M,121,1
1,I,103,0
1,M,118,1
1,I,111,0
1,M,127,1
1,F,123,1
1,F,112,1
1,F,118,1
1,M,121,1
1,F,123,1
1,F,123,1
1,I,110,0
1,M,122,1
1,I,108,0
1,F,120,1
1,M,142,1
1,F,121,1
1,F,116,1
1,F,116,1
1,F,125,1
1,F,121,1
1,M,143,1
1,F,133,1
1,F,147,1
1,M,147,1
1,F,122,1
1,F,132,1
1,F,140,1
1,F,152,1
1,M,141,1
1,M,141,1
1,M,134,1
1,M,153,1
1,M,141,1
1,F,125,1
1,F,122,1
1,M,141,1
1,M,156,1
1,M,151,1
1,F,147,1
1,F,158,1
1,F,136,1
1,M,147,1
1,M,155,1
1,F,152,1
1,F,154,1
1,M,158,1
1,M,152,1
1,M,153,1
1,F,118,1
1,M,141,1
1,M,152,1
1,M,154,1
1,F,137,1
1,F,123,1
1,F,145,1
1,F,149,1
1,F,160,1
1,F,158,1
1,M,151,1
1,F,149,1
1,M,142,1
1,M,152,1
1,F,152,1
1,F,122,1
1,F,150,1
1,M,144,1
1,F,135,1
1,M,142,1
1,M,146,1
1,M,153,1
1,M,138,1
1,M,153,1
1,M,159,1
1,F,150,1
1,M,158,1
1,M,157,1
1,F,143,1
1,M,146,1
1,F,142,1
1,M,150,1
1,M,152,1
1,F,129,1
1,M,118,1
1,M,155,1
1,M,147,1
1,F,140,1
1,F,118,1
1,M,152,1
1,F,141,1
1,F,119,1
1,F,145,1
1,F,138,1
1,M,152,1
1,M,133,1
1,M,140,1
1,M,160,1
1,M,141,1
